Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,30,19,8,3,48:14,34,46
2 ,Fiorentina,30,17,11,2,36:17,19,45
3 ,AS Roma,30,15,8,7,40:29,11,38
4 ,SSC Napoli,30,10,15,5,31:21,10,35
5 ,Inter,30,11,13,6,39:34,5,35
6 ,Ascoli,30,9,14,7,26:21,5,32
7 ,Catanzaro,30,9,10,11,25:29,-4,28
8 ,Avellino,30,9,9,12,22:26,-4,27
9 ,Cesena,30,8,11,11,34:41,-7,27
10 ,Torino,30,8,11,11,25:30,-5,27
11 ,Udinese Calcio,30,9,8,13,27:37,-10,26
12 ,Cagliari Calcio,30,7,11,12,33:36,-3,25
13 ,Genoa,30,6,13,11,24:29,-5,25
14 ,Milan,30,7,10,13,21:31,-10,24
15 ,Bologna,30,6,11,13,25:37,-12,23
16 ,Como,30,3,11,16,18:42,-24,17
