Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,22,5,7,80:42,38,49
2 ,Milan,34,18,9,7,65:39,26,45
3 ,Inter,34,18,8,8,73:39,34,44
4 ,Sampdoria,34,17,7,10,54:51,3,41
5 ,AS Roma,34,16,7,11,58:46,12,39
6 ,Padova,34,16,6,12,47:40,7,38
7 ,Fiorentina,34,13,11,10,46:34,12,37
8 ,Catania,34,15,6,13,45:44,1,36
9 ,Bologna,34,10,11,13,44:51,-7,31
10 ,Vicenza,34,10,11,13,35:46,-11,31
11 ,Atalanta,34,9,13,12,35:41,-6,31
12 ,AC Torino,34,9,12,13,34:41,-7,30
13 ,SPAL,34,10,10,14,39:50,-11,30
14 ,Bari,34,9,11,14,27:38,-11,29
15 ,Udinese,34,9,11,14,39:53,-14,29
16 ,Lecco,34,10,9,15,33:49,-16,29
17 ,Napoli,34,7,11,16,30:47,-17,25
18 ,Lazio,34,5,8,21,30:63,-33,18
