Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Fiorentina,30,16,13,1,38:18,20,45
2 ,US Cagliari,30,14,13,3,41:18,23,41
3 ,Milan,30,14,13,3,31:12,19,41
4 ,Inter,30,14,8,8,55:26,29,36
5 ,Juventus,30,12,11,7,32:24,8,35
6 ,AC Torino,30,11,11,8,33:24,9,33
7 ,SSC Napoli,30,10,12,8,26:25,1,32
8 ,AS Roma,30,10,10,10,35:35,0,30
9 ,Bologna,30,10,9,11,27:36,-9,29
10 ,Hellas Verona,30,9,8,13,40:49,-9,26
11 ,Palermo,30,7,11,12,21:32,-11,25
12 ,Vicenza,30,8,7,15,26:39,-13,23
13 ,Sampdoria,30,5,13,12,21:27,-6,23
14 ,Varese,30,5,12,13,20:43,-23,22
15 ,AC Pisa,30,6,8,16,26:44,-18,20
16 ,Atalanta,30,4,11,15,25:45,-20,19
