Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,34,22,10,2,68:29,39,54
2 ,Milan,34,21,9,4,52:23,29,51
3 ,AC Torino,34,16,12,6,48:27,21,44
4 ,Juventus,34,15,11,8,43:24,19,41
5 ,Fiorentina,34,16,9,9,52:37,15,41
6 ,US Cagliari,34,13,8,13,33:35,-2,34
7 ,Bologna,34,11,12,11,43:42,1,34
8 ,Catania,34,12,8,14,46:51,-5,32
9 ,AS Roma,34,8,15,11,29:35,-6,31
10 ,Foggia  Incedit,34,10,11,13,26:30,-4,31
11 ,Atalanta,34,7,16,11,19:28,-9,30
12 ,Varese,34,8,14,12,28:37,-9,30
13 ,Vicenza,34,10,10,14,33:44,-11,30
14 ,Lazio,34,8,13,13,25:38,-13,29
15 ,Sampdoria,34,9,11,14,19:30,-11,29
16 ,Genoa,34,8,12,14,30:46,-16,28
17 ,Messina,34,7,8,19,26:44,-18,22
18 ,Mantova,34,7,7,20,20:40,-20,21
