Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,SSC Napoli,34,21,9,4,57:31,26,51
2 ,Milan,34,22,5,7,56:27,29,49
3 ,Juventus,34,15,14,5,56:36,20,44
4 ,Inter,34,17,10,7,55:32,23,44
5 ,Sampdoria,34,16,11,7,46:26,20,43
6 ,AS Roma,34,14,13,7,45:40,5,41
7 ,Atalanta,34,12,11,11,36:43,-7,35
8 ,Bologna,34,9,16,9,29:36,-7,34
9 ,Bari,34,6,19,9,34:37,-3,31
10 ,Lazio,34,8,15,11,34:33,1,31
11 ,Genoa,34,6,17,11,27:31,-4,29
12 ,Lecce,34,10,8,16,29:46,-17,28
13 ,Cesena,34,6,16,12,26:36,-10,28
14 ,Fiorentina,34,7,14,13,41:42,-1,28
15 ,Udinese Calcio,34,6,15,13,37:51,-14,27
16 ,Hellas Verona,34,6,13,15,27:44,-17,25
17 ,Cremonese,34,5,13,16,29:50,-21,23
18 ,Ascoli,34,4,13,17,20:43,-23,21
