Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,US Cagliari,30,17,11,2,42:11,31,45
2 ,Inter,30,16,9,5,41:19,22,41
3 ,Juventus,30,15,8,7,43:20,23,38
4 ,Milan,30,13,10,7,38:24,14,36
5 ,Fiorentina,30,15,6,9,40:33,7,36
6 ,SSC Napoli,30,10,11,9,24:21,3,31
7 ,AC Torino,30,11,8,11,20:31,-11,30
8 ,Lazio,30,11,7,12,33:32,1,29
9 ,Vicenza,30,11,7,12,32:31,1,29
10 ,Bologna,30,6,16,8,22:24,-2,28
11 ,AS Roma,30,8,12,10,27:36,-9,28
12 ,Hellas Verona,30,8,10,12,26:30,-4,26
13 ,Sampdoria,30,6,12,12,22:37,-15,24
14 ,Brescia,30,5,10,15,20:35,-15,20
15 ,Palermo,30,5,10,15,23:45,-22,20
16 ,Bari,30,5,9,16,11:35,-24,19
