Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Juventus,34,23,5,6,77:44,33,51
2 ,Fiorentina,34,16,11,7,56:36,20,43
3 ,Padova,34,16,10,8,55:42,13,42
4 ,Napoli,34,17,6,11,65:55,10,40
5 ,AS Roma,34,12,12,10,46:42,4,36
6 ,Bologna,34,12,10,12,47:43,4,34
7 ,AC Torino,34,11,11,12,42:49,-7,33
8 ,Vicenza,34,13,7,14,51:48,3,33
9 ,Udinese,34,10,12,12,51:46,5,32
10 ,Inter,34,10,12,12,36:36,0,32
11 ,AC Milan,34,9,14,11,61:47,14,32
12 ,Alessandria,34,9,12,13,36:42,-6,30
13 ,SPAL,34,10,10,14,32:52,-20,30
14 ,Genoa,34,9,12,13,53:60,-7,30
15 ,Lazio,34,10,10,14,45:65,-20,30
16 ,Sampdoria,34,9,12,13,54:62,-8,30
17 ,Atalanta,34,6,16,12,29:49,-20,28
18 ,Verona,34,10,6,18,44:62,-18,26
