Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Ambrosiana-Inter,30,20,4,6,56:23,33,44
2 ,Bologna,30,16,9,5,44:23,21,41
3 ,Juventus,30,15,6,9,45:40,5,36
4 ,Lazio,30,12,11,7,44:36,8,35
5 ,AC Torino,30,13,7,10,47:41,6,33
6 ,Genova,30,14,5,11,56:47,9,33
7 ,AS Roma,30,11,7,12,28:31,-3,29
8 ,Milano,30,10,8,12,46:38,8,28
9 ,Bari,30,9,9,12,33:46,-13,27
10 ,Novara,30,12,3,15,27:35,-8,27
11 ,AC Venezia,30,10,7,13,34:46,-12,27
12 ,Triestina,30,10,6,14,38:43,-5,26
13 ,Fiorentina,30,9,6,15,37:48,-11,24
14 ,Liguria,30,7,10,13,25:44,-19,24
15 ,Napoli,30,9,6,15,26:41,-15,24
16 ,Modena,30,7,8,15,39:43,-4,22
