Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Hellas Verona,30,15,13,2,42:19,23,43
2 ,Torino,30,14,11,5,36:22,14,39
3 ,Inter,30,13,12,5,42:28,14,38
4 ,Sampdoria,30,12,13,5,36:21,15,37
5 ,Milan,30,12,12,6,31:25,6,36
6 ,Juventus,30,11,14,5,48:33,15,36
7 ,AS Roma,30,10,14,6,33:25,8,34
8 ,SSC Napoli,30,10,13,7,34:29,5,33
9 ,Fiorentina,30,8,13,9,33:31,2,29
10 ,Atalanta,30,5,18,7,20:32,-12,28
11 ,Como,30,6,13,11,17:27,-10,25
12 ,Udinese Calcio,30,10,5,15,43:46,-3,25
13 ,Avellino,30,7,11,12,27:33,-6,25
14 ,Ascoli,30,4,14,12,24:40,-16,22
15 ,Lazio,30,2,11,17,16:45,-29,15
16 ,Cremonese,30,4,7,19,22:48,-26,15
