Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,34,20,11,3,67:32,35,51
2 ,Juventus,34,20,10,4,58:34,24,50
3 ,AC Milan,34,17,10,7,66:39,27,44
4 ,Fiorentina,34,15,14,5,45:27,18,44
5 ,Napoli,34,13,12,9,52:38,14,38
6 ,Bologna,34,14,8,12,50:41,9,36
7 ,AS Roma,34,12,12,10,53:42,11,36
8 ,Sampdoria,34,11,12,11,38:40,-2,34
9 ,AC Torino,34,9,15,10,37:46,-9,33
10 ,Atalanta,34,10,11,13,54:53,1,31
11 ,Lazio,34,10,9,15,40:42,-2,29
12 ,Genoa,34,10,8,16,36:50,-14,28
13 ,Triestina,34,9,10,15,42:64,-22,28
14 ,Novara,34,8,11,15,34:50,-16,27
15 ,Palermo,34,9,8,17,37:59,-22,26
16 ,SPAL,34,8,10,16,33:53,-20,26
17 ,Udinese,34,8,10,16,39:57,-18,26
18 ,Legnano,34,6,13,15,44:58,-14,25
