Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AC Torino,38,28,7,3,104:35,69,63
2 ,Juventus,38,22,9,7,83:38,45,53
3 ,Modena,38,21,9,8,45:24,21,51
4 ,AC Milan,38,19,12,7,75:52,23,50
5 ,Bologna,38,15,9,14,42:41,1,39
6 ,AC Vicenza,38,16,7,15,53:57,-4,39
7 ,Bari,38,16,6,16,33:48,-15,38
8 ,Napoli,38,14,9,15,50:59,-9,37
9 ,Atalanta,38,11,15,12,40:52,-12,37
10 ,Inter,38,13,10,15,59:54,5,36
11 ,Sampdoria,38,14,8,16,56:52,4,36
12 ,Genoa,38,13,10,15,53:53,0,36
13 ,Lazio,38,12,12,14,56:56,0,36
14 ,Alessandria,38,13,9,16,59:60,-1,35
15 ,Livorno,38,9,15,14,49:55,-6,33
16 ,AS Roma,38,12,9,17,41:56,-15,33
17 ,Fiorentina,38,10,12,16,46:69,-23,32
18 ,Brescia,38,10,11,17,45:58,-13,31
19 ,AC Venezia,38,10,7,21,43:66,-23,27
20 ,Triestina,38,5,8,25,32:79,-47,18
