Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Ambrosiana-Inter,30,16,9,5,57:28,29,41
2 ,Juventus,30,14,11,5,43:22,21,39
3 ,Milano,30,13,12,5,43:27,16,38
4 ,Genova,30,15,8,7,50:35,15,38
5 ,Bologna,30,14,9,7,46:34,12,37
6 ,Triestina,30,12,12,6,35:22,13,36
7 ,AS Roma,30,14,8,8,44:31,13,36
8 ,Lazio,30,11,10,9,48:30,18,32
9 ,AC Torino,30,12,8,10,39:37,2,32
10 ,Napoli,30,8,12,10,37:39,-2,28
11 ,Liguria,30,8,8,14,33:42,-9,24
12 ,Livorno,30,8,8,14,29:45,-16,24
13 ,Bari,30,8,7,15,35:60,-25,23
14 ,Lucchese,30,5,11,14,28:55,-27,21
15 ,Atalanta,30,4,8,18,22:50,-28,16
16 ,Fiorentina,30,3,9,18,28:60,-32,15
