Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Bologna,30,15,10,5,39:21,18,40
2 ,AS Roma,30,16,7,7,32:20,12,39
3 ,Torino,30,16,6,8,49:33,16,38
4 ,Ambrosiana-Inter,30,14,8,8,61:34,27,36
5 ,Juventus,30,13,9,8,46:33,13,35
6 ,Triestina,30,10,12,8,46:39,7,32
7 ,Lazio,30,11,8,11,48:42,6,30
8 ,Napoli,30,11,6,13,42:45,-3,28
9 ,Alessandria,30,9,10,11,34:37,-3,28
10 ,Milan,30,10,8,12,40:41,-1,28
11 ,Genova,30,7,14,9,38:44,-6,28
12 ,Sampierdarenese,30,9,9,12,32:49,-17,27
13 ,Fiorentina,30,10,7,13,32:42,-10,27
14 ,Bari,30,7,11,12,26:38,-12,25
15 ,Palermo,30,10,3,17,24:50,-26,23
16 ,Brescia,30,5,6,19,21:42,-21,16
