Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,30,19,8,3,50:26,24,46
2 ,Milan,30,15,12,3,54:26,28,42
3 ,SSC Napoli,30,15,9,6,33:19,14,39
4 ,Juventus,30,11,13,6,41:30,11,35
5 ,Bologna,30,10,14,6,30:24,6,34
6 ,AS Roma,30,7,18,5,32:25,7,32
7 ,US Cagliari,30,8,14,8,33:35,-2,30
8 ,Vicenza,30,6,14,10,23:31,-8,26
9 ,AC Torino,30,6,14,10,27:30,-3,26
10 ,Hellas Verona,30,7,12,11,23:35,-12,26
11 ,Varese,30,5,16,9,29:33,-4,26
12 ,Fiorentina,30,3,19,8,26:32,-6,25
13 ,Sampdoria,30,6,13,11,30:34,-4,25
14 ,Foggia,30,6,13,11,28:43,-15,25
15 ,Lazio,30,5,12,13,28:43,-15,22
16 ,Catania,30,5,11,14,18:39,-21,21
