Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,AC Milan,34,21,6,7,65:40,25,48
2 ,Fiorentina,34,16,10,8,55:40,15,42
3 ,Lazio,34,14,13,7,52:40,12,41
4 ,Udinese,34,15,6,13,59:58,1,36
5 ,Bologna,34,12,11,11,54:48,6,35
6 ,Inter,34,11,13,10,53:45,8,35
7 ,Sampdoria,34,12,11,11,59:56,3,35
8 ,AC Torino,34,13,9,12,45:42,3,35
9 ,Juventus,34,11,11,12,54:54,0,33
10 ,SPAL,34,14,5,15,38:47,-9,33
11 ,Napoli,34,11,10,13,39:41,-2,32
12 ,Padova,34,8,16,10,33:39,-6,32
13 ,Vicenza,34,11,10,13,49:51,-2,32
14 ,Atalanta,34,9,13,12,36:44,-8,31
15 ,AS Roma,34,10,11,13,53:49,4,31
16 ,Genoa,34,9,12,13,36:46,-10,30
17 ,Triestina,34,9,11,14,33:42,-9,29
18 ,Palermo,34,7,8,19,32:63,-31,22
