Pos,Name,Pld,W,D,L,Goals,+/-,Pts
1 ,Inter,34,20,10,4,70:28,42,50
2 ,Bologna,34,19,8,7,60:37,23,46
3 ,SSC Napoli,34,17,11,6,44:27,17,45
4 ,Fiorentina,34,16,11,7,45:22,23,43
5 ,Juventus,34,13,16,5,38:23,15,42
6 ,Vicenza,34,13,14,7,44:34,10,40
7 ,Milan,34,13,12,9,43:33,10,38
8 ,AS Roma,34,13,10,11,28:31,-3,36
9 ,Brescia,34,12,8,14,43:44,-1,32
10 ,AC Torino,34,9,13,12,31:34,-3,31
11 ,US Cagliari,34,10,10,14,36:37,-1,30
12 ,Foggia  Incedit,34,8,13,13,22:30,-8,29
13 ,Lazio,34,8,13,13,28:41,-13,29
14 ,Atalanta,34,9,11,14,24:37,-13,29
15 ,SPAL,34,9,10,15,38:45,-7,28
16 ,Sampdoria,34,9,9,16,27:47,-20,27
17 ,Catania,34,5,12,17,24:56,-32,22
18 ,Varese,34,2,11,21,23:62,-39,15
